product_category_name,product_category_name_english,product_category
beleza_saude,health_beauty,Health and Beauty
informatica_acessorios,computers_accessories,Electronics
automotivo,auto,Electronics
cama_mesa_banho,bed_bath_table,Furniture
moveis_decoracao,furniture_decor,Furniture
esporte_lazer,sports_leisure,Entertainment
perfumaria,perfumery,Health and Beauty
utilidades_domesticas,housewares,House and Garden
telefonia,telephony,Electronics
relogios_presentes,watches_gifts,Electronics
alimentos_bebidas,food_drink,Food and Drinks
bebes,baby,Fashion
papelaria,stationery,Books
tablets_impressao_imagem,tablets_printing_image,Electronics
brinquedos,toys,Entertainment
telefonia_fixa,fixed_telephony,Electronics
ferramentas_jardim,garden_tools,Furniture
fashion_bolsas_e_acessorios,fashion_bags_accessories,Fashion
eletroportateis,small_appliances,Electronics
consoles_games,consoles_games,Electronics
audio,audio,Electronics
fashion_calcados,fashion_shoes,Fashion
cool_stuff,cool_stuff,Fashion
malas_acessorios,luggage_accessories,House and Garden
climatizacao,air_conditioning,Electronics
construcao_ferramentas_construcao,construction_tools_construction,Construction Materials
moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture,Furniture
construcao_ferramentas_jardim,costruction_tools_garden,House and Garden
fashion_roupa_masculina,fashion_male_clothing,Fashion
pet_shop,pet_shop,House and Garden
moveis_escritorio,office_furniture,Furniture
market_place,market_place,House and Garden
eletronicos,electronics,Electronics
eletrodomesticos,home_appliances,House and Garden
artigos_de_festas,party_supplies,Entertainment
casa_conforto,home_confort,House and Garden
construcao_ferramentas_ferramentas,costruction_tools_tools,House and Garden
agro_industria_e_comercio,agro_industry_and_commerce,Construction Materials
moveis_colchao_e_estofado,furniture_mattress_and_upholstery,Furniture
livros_tecnicos,books_technical,Books
casa_construcao,home_construction,Furniture
instrumentos_musicais,musical_instruments,Electronics
moveis_sala,furniture_living_room,Furniture
construcao_ferramentas_iluminacao,construction_tools_lights,House and Garden
industria_comercio_e_negocios,industry_commerce_and_business,Construction Materials
alimentos,food,Food and Drinks
artes,art,Entertainment
moveis_quarto,furniture_bedroom,Furniture
livros_interesse_geral,books_general_interest,Books
construcao_ferramentas_seguranca,construction_tools_safety,Construction Materials
fashion_underwear_e_moda_praia,fashion_underwear_beach,Fashion
fashion_esporte,fashion_sport,Fashion
sinalizacao_e_seguranca,signaling_and_security,Electronics
pcs,computers,Electronics
artigos_de_natal,christmas_supplies,Entertainment
fashion_roupa_feminina,fashio_female_clothing,Fashion
eletrodomesticos_2,home_appliances_2,House and Garden
livros_importados,books_imported,Books
bebidas,drinks,Food and Drinks
cine_foto,cine_photo,Entertainment
la_cuisine,la_cuisine,House and Garden
musica,music,Entertainment
casa_conforto_2,home_comfort_2,Furniture
portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee,Electronics
cds_dvds_musicais,cds_dvds_musicals,Entertainment
dvds_blu_ray,dvds_blu_ray,Entertainment
flores,flowers,House and Garden
artes_e_artesanato,arts_and_craftmanship,Entertainment
fraldas_higiene,diapers_and_hygiene,Health and Beauty
fashion_roupa_infanto_juvenil,fashion_childrens_clothes,Fashion
seguros_e_servicos,security_and_services,Electronics
